created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Sep 10 11:25:52 +0000 2023;1700832961548128423;"@agiegi Mending skalian lgsg ke ortho aja lebih paham perbehel-an walaupun pasti makan budget banyak ya kak😂 Umur segini kesehatan gak cuma badan sama mental yg penting, gigi juga ternyata🤣";0;1;0;0;in;81509828;1700692178216046931;afiafiafii;https://twitter.com/afiafiafii/status/1700832961548128423
Fri Sep 08 23:10:37 +0000 2023;1700285541462221084;"- Dasar-dasar performance opera 1 (1 sks)  Kamis: - Teater Cina (1 sks) - Kesehatan mental (1 sks)  Jumat: - Situasi &amp  Kebijakan (2 sks) - Dasar-dasar opera 1 (2 sks) https://t.co/aT49bjMqCm";1;1;0;0;in;1204729654981980160;1700282557743484944;sirkuseminggu;https://twitter.com/sirkuseminggu/status/1700285541462221084
Fri Sep 08 09:48:19 +0000 2023;1700083634932420957;"Udah sampe checkpoint, stop ranked season ini demi kesehatan mental. https://t.co/GmvhDZLIpd";0;4;0;0;in;1105237370;1700083634932420957;RamdhaniRizap_;https://twitter.com/RamdhaniRizap_/status/1700083634932420957
Thu Sep 07 11:19:01 +0000 2023;1699744073555558584;"Mengampuni berpengaruh pada kesehatan rohani dan mental kita 🙏🏼";0;0;0;0;in;58866517;1699744073555558584;RiskyHong;https://twitter.com/RiskyHong/status/1699744073555558584
Thu Sep 07 07:23:40 +0000 2023;1699684847684624523;"Mengeksplorasi kesehatan mental melalui film bisa merupakan hal yang menarik. Film-film ini juga kerap mengambil perspektif terapis, psikolog, maupun tenaga kesehatan mental profesional lainnya. Berikut beberapa di antaranya.   #Yayasanmerajuthati #Merajuthati #berbagihati https://t.co/ENlGyzpfqs";3;0;3;3;in;1494877853481320449;1699684847684624523;Merajuthati_;https://twitter.com/Merajuthati_/status/1699684847684624523
Thu Sep 07 05:44:17 +0000 2023;1699659836798255388;"Kesehatan mental yang baik adalah tameng yang kuat dalam melawan stres. Jadi, penting bagi kita untuk merawat kesehatan mental kita agar kita dapat menjalani hari-hari kita tanpa stres berlebihan. Stay healthy teman-teman 💚";0;0;3;3;in;1494877853481320449;1699659836798255388;Merajuthati_;https://twitter.com/Merajuthati_/status/1699659836798255388
Wed Sep 06 14:22:36 +0000 2023;1699427886409666920;"Demi kesehatan mental ga papa.";0;0;0;0;in;1309151451248078848;1699427886409666920;Tarawiyah7;https://twitter.com/Tarawiyah7/status/1699427886409666920
Wed Sep 06 06:49:59 +0000 2023;1699313979695497683;"#Yayasanmerajuthati #Merajuthati #berbagihati #tidaksendirilagi #kesehatanmental #mentalhealth #mentalhealthIndonesia #bantuankesehatanmental #donasi #gratis #psikolog #provider #psikologi #dukungan https://t.co/tlYnzvMVnJ";0;0;1;2;qme;1494877853481320449;1699313977254437055;Merajuthati_;https://twitter.com/Merajuthati_/status/1699313979695497683
Wed Sep 06 06:49:58 +0000 2023;1699313977254437055;"Dalam usaha kami mewujudkan visi dan misi kami untuk kesehatan mental in Indonesia yang lebih baik, Merajut Hati memiliki beberapa program untuk meningkatkan pemahaman, dukungan, dan layanan terkait kesehatan mental. 💚 💚 💚 https://t.co/agleMU9Qur";2;1;2;3;in;1494877853481320449;1699313977254437055;Merajuthati_;https://twitter.com/Merajuthati_/status/1699313977254437055
Wed Sep 06 04:20:52 +0000 2023;1699276456436646141;"Senam adalah merupakan suatu olah raga atau mengolah raga yang mana melibatkan berbagai gerakan tubuh yang membutuhkan kekuatan, kecepatan, serta keserasian gerakan fisik.  Dalam rangka menyeimbangkan kesehatan fisik dan mental bapak/ibu guru, sekolah mengadakan Senam Pagi. https://t.co/aZ0pgigJis";0;0;0;1;in;1425271182199193608;1699276456436646141;spenby_madiun;https://twitter.com/spenby_madiun/status/1699276456436646141
Wed Sep 06 03:59:38 +0000 2023;1699271112029598049;"Jika teman-teman merasa butuh bantuan kesehatan mental, kunjungi https://t.co/hq7qs58tZW untuk mendapatkan informasi sumberdaya kesehatan mental atau melakukan tes skrining di https://t.co/v275KOhPMN untuk mengetahui kondisi kesehatan mental teman-teman.";3;1;3;4;in;1494877853481320449;1699271112029598049;Merajuthati_;https://twitter.com/Merajuthati_/status/1699271112029598049
Wed Sep 06 03:40:15 +0000 2023;1699266234938958215;"Ketika kita mengalami masa-masa berat, salah satu langkah terbaik yang bisa kita ambil adalah mendapatkan bantuan profesional kesehatan mental.";0;1;0;1;in;1494877853481320449;1699266234938958215;Merajuthati_;https://twitter.com/Merajuthati_/status/1699266234938958215
Tue Sep 05 07:58:11 +0000 2023;1698968754674409829;"@Pai_C1 Pembangun jalan raya...  Atau pembangun mental,pendidikan dan kesehatan?";0;0;0;7;in;1246496018662752256;1698960791419183591;jumbleh2;https://twitter.com/jumbleh2/status/1698968754674409829
Tue Sep 05 04:28:19 +0000 2023;1698915939830599814;"Kesehatan Mental Wanita  https://t.co/GXEoVhcs4r via @YouTube";0;0;0;1;in;1494877853481320449;1698915939830599814;Merajuthati_;https://twitter.com/Merajuthati_/status/1698915939830599814
Tue Sep 05 04:00:11 +0000 2023;1698908862127210951;"Stres bukan tanda kelemahan, tetapi tanda bahwa kita sudah berusaha keras dan memberikan yang terbaik. Berikan kesempatan diri kita untuk melewatinya dan ingatlah bahwa kita juga berhak pulih dari kondisi stres dan mencapai kesehatan mental yang baik. Terus semangat teman-teman.";0;0;0;1;in;1494877853481320449;1698908862127210951;Merajuthati_;https://twitter.com/Merajuthati_/status/1698908862127210951
Mon Sep 04 17:07:46 +0000 2023;1698744676835356870;"@Idgafwyab Emang basicnya pengetahuan orang2 awam di negara ttng kesehatan mental masih rendah banget sih kak jadi pada susah bedain, dan pada buat banyak orang nyepelein juga 😢";0;1;0;0;in;1286947431490363392;1698736398587859257;Raden__Ontoseno;https://twitter.com/Raden__Ontoseno/status/1698744676835356870
Mon Sep 04 11:25:32 +0000 2023;1698658547884769351;"Bukannya sombong atau riya. Tapi seBEGO-BEGOnya gw, seAMBRUK-AMBRUKnya Kesehatan Mental gw, Sholat gak pernah ditinggal. Subuh pun sangat amat jarang lewat dari jam 5 !!! *Kesel bgt gw !!! 😡";0;1;0;2;in;109421159;1698658547884769351;AchVic;https://twitter.com/AchVic/status/1698658547884769351
Mon Sep 04 04:07:18 +0000 2023;1698548263874592769;"Tinggal kan hal-hal tidak berkontribusi pada kebaikan kesehatan mental kita. Sambut perubahan, dan berikan kesempatan untuk diri kita tetap bertumbuh.";0;0;0;0;in;1494877853481320449;1698548262054375872;Merajuthati_;https://twitter.com/Merajuthati_/status/1698548263874592769
Mon Sep 04 04:07:17 +0000 2023;1698548262054375872;"Mari mulai bulan September ini dengan lebih mempedulikan kesehatan mental kita, meresapi keindahan perubahan seiring berjalanannya waktu, dan menikmati ketenangan yang kita ciptakan sendiri.";0;1;0;2;in;1494877853481320449;1698548262054375872;Merajuthati_;https://twitter.com/Merajuthati_/status/1698548262054375872
Thu Aug 31 03:37:53 +0000 2023;1697091311751602465;"Pembangunan SDM menjadi hal yg pertama dan utama untuk mewujudkan Indonesia Emas 2045. Namun tak hanya membangun kecerdasan intelektual, hal yg tak boleh dilupakan dalam pembangunan sumber daya manusia adalah ketangguhan dan kesehatan mental.  @ganjarpranowo #SosokGanjarPranowo https://t.co/ZYtVj8Wtsv";0;0;0;0;in;394090086;1697091311751602465;Ahmad_hendars;https://twitter.com/Ahmad_hendars/status/1697091311751602465
Wed Aug 30 07:14:38 +0000 2023;1696783467617669333;"jgn harap bs liat gue SENYUM setelah tes kesehatan mental ini 🙄";0;1;0;0;in;1150304157649125377;1696783467617669333;princessfaniiii;https://twitter.com/princessfaniiii/status/1696783467617669333
Wed Aug 30 04:52:05 +0000 2023;1696747594763145229;"Ketika kita bisa bersama-sama berdiskusi dengan rendah hati, mendengarkan dengan empati, dan berbagi pengalaman dengan tulus, kita pasti bisa mengubah pandangan masyarakat tentang kesehatan mental, dan mematahkan stigma-stigma negatif seputar kesehatan mental.";0;0;0;0;in;1494877853481320449;1696747592959574373;Merajuthati_;https://twitter.com/Merajuthati_/status/1696747594763145229
Wed Aug 30 04:52:04 +0000 2023;1696747592959574373;"Mematahkan stigma negatif seputar kesehatan mental adalah hal yang sangat penting karena dapat membuka jalan menuju pemahaman yang lebih dalam, serta memberikan dukungan dan keberanian bagi banyak orang untuk terbuka dan mencari bantuan.";0;1;0;0;in;1494877853481320449;1696747592959574373;Merajuthati_;https://twitter.com/Merajuthati_/status/1696747592959574373
Tue Aug 29 19:25:44 +0000 2023;1696605068378903034;"@mgdarma Alhamdulillah Ikut senang dengarnya  Disini Kesehatan mental dipertaruhkan meg Banyak sudah yg keluar karena selain fasilitas yg susah memadai dan tekanan lingkungan sosial tidak sehat Intinya tidak ada yg bisa diharapkan";0;0;0;0;in;1190670661997318144;1696594632388513955;PamungkasSing;https://twitter.com/PamungkasSing/status/1696605068378903034
Tue Aug 29 15:54:10 +0000 2023;1696551827737846184;"Sebaiknya urungkan niat untuk menganalisa hidup orang lain   Selain mengundang kekecewaan efek yang ditimbulkan sangat fatal khususnya bagi kesehatan mental";0;0;0;0;in;1041724481788534785;1696551827737846184;bungawidrayani_;https://twitter.com/bungawidrayani_/status/1696551827737846184
Tue Aug 29 13:25:32 +0000 2023;1696514421500326154;"Seberapa pentingkah kesehatan mental?  https://t.co/w5HXT7eHo4";0;0;0;0;in;1282242375100755968;1696514421500326154;ESyuqron;https://twitter.com/ESyuqron/status/1696514421500326154
Tue Aug 29 03:16:58 +0000 2023;1696361270440817062;"Butterfly hug merupakan bentuk stimulasi mandiri yang berguna untuk meredam rasa cemas dan menenangkan diri. Butterfly hug atau memeluk diri sendiri bermanfaat untuk meredakan kecemasan.  #Cendekia8 #RumahCendekia8 #butterflyhug #kecemasan #kesehatanmental  #mentalawareness https://t.co/wnodcm1np2";0;0;0;0;in;1204249398382710786;1696361270440817062;CendekiaDelapan;https://twitter.com/CendekiaDelapan/status/1696361270440817062
Tue Aug 29 01:28:33 +0000 2023;1696333985448931558;"Caregiver ODGJ itu kuat2nya luar biasa. Untung disupport sistem kesehatan mental yg akhir2 ini makin baik. Jamkesmas yg mensupport pembiayaan.  Untuk urusan agar ODGJ mandiri, tentu saja Caregiver jadi angel investor bagi pasiennya. Mantab...";0;0;0;3;in;2275606098;1696333985448931558;indah0706;https://twitter.com/indah0706/status/1696333985448931558
Tue Aug 29 01:19:25 +0000 2023;1696331690279567534;"@suriresutari_ Semoga generasi mendatang bisa lebih peduli terhadap kesehatan mental dan memiliki kesejahteraan mental yang lebih baik 💚💚💚";0;0;0;0;in;1494877853481320449;1696145627150012435;Merajuthati_;https://twitter.com/Merajuthati_/status/1696331690279567534
Mon Aug 28 05:03:20 +0000 2023;1696025650472386974;"Untuk melihat kondisi kesehatan mental, kunjungi https://t.co/v275KOhPMN.     Hasil test screening ini bisa menjadi barometer bagi kita untuk mendapatkan bantuan kesehatan mental profesional jika dibutuhkan";0;0;0;0;in;1494877853481320449;1696025650472386974;Merajuthati_;https://twitter.com/Merajuthati_/status/1696025650472386974
Mon Aug 28 04:54:22 +0000 2023;1696023394503024976;"Produktivitas yang berkelanjutan dimulai dari dalam. Dalam perjalanan mencapai tujuan, jangan lupa menjaga kesehatan mental. Istirahat yang cukup, temukan cara untuk relaksasi pikiran, dan tetap fokus pada langkah kecil yang membawa hasil besar. 💚💚💚";0;0;0;0;in;1494877853481320449;1696023394503024976;Merajuthati_;https://twitter.com/Merajuthati_/status/1696023394503024976
Sun Aug 27 18:19:20 +0000 2023;1695863581315903632;"Kesehatan mental, njir!   Selagi waras, ya itu rejeki banget. Dunia kerja makin menggila!";0;0;0;0;in;72036218;1695863581315903632;celotehraka;https://twitter.com/celotehraka/status/1695863581315903632
Sun Aug 27 16:55:21 +0000 2023;1695842449556709731;"Kurangi circle toxic demi kesehatan mental 🤭";0;0;0;0;in;1691237912;1695842449556709731;yudhi_rizqi;https://twitter.com/yudhi_rizqi/status/1695842449556709731
Sat Aug 26 13:44:54 +0000 2023;1695432129784734103;"@irnairhamna_ Iya dok, demi kesehatan mental";0;0;0;0;in;82470998;1695063463863746704;Junoari;https://twitter.com/Junoari/status/1695432129784734103
Sat Aug 26 03:08:16 +0000 2023;1695271917899669947;"Bagaimana mengatasi krisis eksistensial?   #Cendekia8 #RumahCendekia8 #krisiseksistensial #mentalhealth #kesehatanmental #mentalawareness #KonsultasiPsikologi https://t.co/G3eknlYiE5";0;0;0;0;in;1204249398382710786;1695271917899669947;CendekiaDelapan;https://twitter.com/CendekiaDelapan/status/1695271917899669947
Fri Aug 25 04:57:24 +0000 2023;1694936993292267956;"Berkonsultasi dengan profesional kesehatan mental juga dapat memberikan kita alat dan strategi yang dapat membantu Kita mengatasi perasaan dan situasi yang sulit, juga membantu kita mengurangi gejala dari kondisi kesehatan mental yang kita alami.";0;1;0;0;in;1494877853481320449;1694936991358738532;Merajuthati_;https://twitter.com/Merajuthati_/status/1694936993292267956
Fri Aug 25 04:57:23 +0000 2023;1694936991358738532;"Ketika merasa cemas, tertekan, atau kesulitan menghadapi perasaan Kita, ingatlah bahwa Kita tidak sendirian. Selain sistem dukungan dari orang-orang terdekat, kita juga bisa mendapatkan bantuan profesional kesehatan mental yang memahami kondisi kita secara profesional.";0;1;0;1;in;1494877853481320449;1694936991358738532;Merajuthati_;https://twitter.com/Merajuthati_/status/1694936991358738532
Fri Aug 25 03:10:14 +0000 2023;1694910024643145963;"Mengapa seseorang bisa mengalami krisis eksistensial?   #Cendekia8 #RumahCendekia8 #krisiseksistensial #Mentalhealth #kesehatanmental #infopsikologi #KonsultasiPsikologi https://t.co/bfWHabaMWL";0;0;0;1;in;1204249398382710786;1694910024643145963;CendekiaDelapan;https://twitter.com/CendekiaDelapan/status/1694910024643145963
Thu Aug 24 14:13:08 +0000 2023;1694714461956034966;"@zahwaisl No offense mbak Zahwa saya harus keluarkan ulti demi kesehatan mental https://t.co/9iI6HqfTBt";0;1;0;0;in;1128485669049753600;1694712890178273313;ababieell;https://twitter.com/ababieell/status/1694714461956034966
Thu Aug 24 10:06:52 +0000 2023;1694652487532433915;"Makasih orderan nya...  Silahkan order Pijat di The One Massage Online Makassar Outcall to Hotel / Apartemen / Kostsan Minat silahkan Chat Wa 082152512853 Hanya panggilan saja , tdk sediakan tempat.  "Banyak-banyak bersyukur tidak selalu ampuh mengobati kesehatan mental kita." https://t.co/ftQWjeVv7W";0;0;0;0;in;1498118745335922689;1694652487532433915;terapispijat5;https://twitter.com/terapispijat5/status/1694652487532433915
Thu Aug 24 08:05:22 +0000 2023;1694621910473265476;"#Yayasanmeajuthati #Merajuthati #berbagihati #tidaksendirilagi #kesehatanmental #mentalhealth #mentalhealthIndonesia #bantuankesehatanmental #donasi #gratis https://t.co/X7XiiSU0H5";1;0;1;1;qme;1494877853481320449;1694621905586901084;Merajuthati_;https://twitter.com/Merajuthati_/status/1694621910473265476
